time,EyeX,EyeY,HeadPosY,EMG1,EMG2
2023-11-29 01:54:08.011375,894.1658935546875,413.03948974609375,7.414610862731934,0.0,0.0
2023-11-29 01:54:08.033450,894.1127319335938,411.37890625,7.414610862731934,0.0,0.0
2023-11-29 01:54:08.356259,901.5233154296875,404.72430419921875,7.44612455368042,0.0,0.0
2023-11-29 01:54:08.371650,901.8990478515625,404.24920654296875,7.44612455368042,0.0,0.0
2023-11-29 01:54:08.375191,901.8990478515625,404.24920654296875,7.44612455368042,0.0,0.0
2023-11-29 01:54:08.410629,901.768310546875,402.6820068359375,7.474770545959473,0.0,0.0
2023-11-29 01:54:08.415185,901.768310546875,402.6820068359375,7.452723503112793,0.0,0.0
2023-11-29 01:54:08.446744,901.6492309570312,402.0516662597656,7.456557750701904,0.0,0.0
2023-11-29 01:54:08.483465,901.766357421875,401.17303466796875,7.442877769470215,0.0,0.0
2023-11-29 01:54:08.517700,901.7183227539062,400.6697692871094,7.463736057281494,0.0,0.0
2023-11-29 01:54:08.550291,901.6223754882812,401.2870788574219,7.438017845153809,0.0,0.0
2023-11-29 01:54:08.584749,901.0787963867188,401.5459289550781,7.45505428314209,0.0,0.0
2023-11-29 01:54:08.618632,900.9677124023438,401.5058288574219,7.471081256866455,0.0,0.0
2023-11-29 01:54:08.648973,901.3364868164062,402.0661926269531,7.451953411102295,0.0,0.0
2023-11-29 01:54:08.652498,901.3364868164062,402.0661926269531,7.451953411102295,0.0,0.0
2023-11-29 01:54:08.656497,901.3364868164062,402.0661926269531,7.4694061279296875,-2.7364656489226036e-05,-1.1431804523454048e-05
2023-11-29 01:54:08.660669,901.3364868164062,402.0661926269531,7.4694061279296875,-2.8439852030714974e-05,-1.9941540813306347e-05
2023-11-29 01:54:08.667673,901.3364868164062,402.0661926269531,7.4694061279296875,-2.537074215069879e-05,-1.4976901638874551e-06
2023-11-29 01:54:08.670207,901.3364868164062,402.0661926269531,7.4694061279296875,-2.537074215069879e-05,-1.4976901638874551e-06
2023-11-29 01:54:08.675265,901.572265625,402.6711730957031,7.4694061279296875,-2.537074215069879e-05,-1.4976901638874551e-06
