Count,realx,realy,EyeX,EyeY,HeadPosX,HeadPosY,HeadPosZ
0,1462.4490966796875,745.408203125,985.7196655273438,369.9072570800781,333.24224853515625,3.0737664699554443,358.0384521484375
0,1462.4490966796875,745.408203125,985.7196655273438,369.9072570800781,333.1484680175781,3.259503126144409,357.9670104980469
0,1462.4490966796875,745.408203125,985.5315551757812,370.18341064453125,333.1484680175781,3.259503126144409,357.9670104980469
0,1462.4490966796875,745.408203125,985.5315551757812,370.18341064453125,332.9866943359375,3.450570821762085,357.93878173828125
0,1462.4490966796875,745.408203125,985.44091796875,370.3418884277344,332.9866943359375,3.450570821762085,357.93878173828125
0,1462.4490966796875,745.408203125,985.44091796875,370.3418884277344,332.8377990722656,3.5532593727111816,357.94061279296875
0,1462.4490966796875,745.408203125,985.3130493164062,370.8490295410156,332.7813720703125,3.6783249378204346,357.9015808105469
0,1462.4490966796875,745.408203125,985.2838745117188,371.6591491699219,332.7813720703125,3.6783249378204346,357.9015808105469
0,1462.4490966796875,745.408203125,985.2838745117188,371.6591491699219,332.71356201171875,3.8286826610565186,357.8203430175781
0,1462.4490966796875,745.408203125,985.1043090820312,372.44580078125,332.71356201171875,3.8286826610565186,357.8203430175781
0,1462.4490966796875,745.408203125,985.1043090820312,372.44580078125,332.5437316894531,4.018987655639648,357.6311340332031
0,1462.4490966796875,745.408203125,984.7923583984375,373.2870178222656,332.5437316894531,4.018987655639648,357.6311340332031
0,1462.4490966796875,745.408203125,984.7923583984375,373.2870178222656,332.3822021484375,4.1903300285339355,357.3955993652344
0,1462.4490966796875,745.408203125,984.4189453125,373.9746398925781,332.3822021484375,4.1903300285339355,357.3955993652344
0,1462.4490966796875,745.408203125,984.4189453125,373.9746398925781,332.3949279785156,4.290696144104004,357.089111328125
0,1462.4490966796875,745.408203125,989.7313842773438,377.01654052734375,332.3638610839844,4.4778265953063965,356.6322937011719
0,1462.4490966796875,745.408203125,1039.1314697265625,405.240234375,332.3638610839844,4.4778265953063965,356.6322937011719
0,1462.4490966796875,745.408203125,1039.1314697265625,405.240234375,332.26922607421875,4.503885269165039,356.3990173339844
0,1462.4490966796875,745.408203125,1111.7457275390625,448.3529052734375,332.26922607421875,4.503885269165039,356.3990173339844
0,1462.4490966796875,745.408203125,1111.7457275390625,448.3529052734375,332.2262878417969,4.487175941467285,356.259521484375
0,1462.4490966796875,745.408203125,1166.056884765625,483.7974548339844,332.2262878417969,4.487175941467285,356.259521484375
0,1462.4490966796875,745.408203125,1166.056884765625,483.7974548339844,332.25872802734375,4.467733383178711,356.158447265625
0,1462.4490966796875,745.408203125,1202.57177734375,506.00640869140625,332.25872802734375,4.467733383178711,356.158447265625
0,1462.4490966796875,745.408203125,1202.57177734375,506.00640869140625,332.2596740722656,4.473690986633301,356.064453125
0,1462.4490966796875,745.408203125,1223.6326904296875,519.2133178710938,332.1893005371094,4.474820137023926,356.037353515625
